,Log_Pop,White,Black,Asian,WomenRatio,Poverty,Unemployment,Professional,Construction,PublicWork,SelfEmployed,RepRatio,RepWon
155,12.723447638422918,69.2,27.5,1.5,0.5278722460446548,26.0,10.1,35.4,12.5,12.8,6.2,0.6196787148594377,1
156,14.39881048182922,75.6,2.0,1.4,0.5036340910143049,17.8,6.3,23.5,16.8,14.4,6.6,0.7677390921110622,1
157,20.636099734273024,32.2,10.7,28.7,0.5093018903237881,11.3,6.0,48.0,6.4,13.2,7.3,0.1756199438517107,0
158,10.232420927176076,64.6,1.5,0.7,0.4480465502909393,19.8,14.6,38.2,12.8,30.2,11.2,0.3227513227513227,0
159,15.187120060274284,79.3,2.0,1.5,0.4637591808288211,10.6,9.3,32.7,9.9,21.0,14.7,0.5997527702971172,1
160,17.780892145142413,72.9,1.5,4.4,0.5045136252425546,20.5,9.1,35.9,9.2,17.2,9.7,0.4679286878175021,0
161,15.4594636383246,82.0,0.6,1.2,0.505248906940098,12.8,7.1,35.6,11.6,18.2,13.7,0.6001525996439342,1
162,14.390639206735708,36.3,0.9,1.5,0.4805624097956143,14.0,5.9,24.2,26.2,13.4,9.7,0.5668987813976623,1
163,20.09979724691417,44.9,8.3,15.8,0.511715099877367,9.8,6.9,43.0,7.9,13.4,8.4,0.2602843979528251,0
164,14.744098009928038,62.8,1.8,2.7,0.4531010859266817,23.2,9.5,32.5,8.6,32.9,9.8,0.5568867436648853,1
165,17.49728271571,78.5,0.9,4.2,0.5010999108180417,9.8,8.1,41.4,8.2,16.8,11.1,0.5240108805260616,1
166,19.89002672205838,30.2,4.7,9.9,0.5011743322464842,25.4,10.4,29.1,14.8,18.4,6.6,0.4458952391280772,0
167,14.769786199841391,52.5,0.8,2.6,0.4912117415428674,19.6,9.2,22.6,23.9,17.3,10.9,0.6184763572679509,1
168,17.047826850128175,74.9,1.0,2.9,0.5017492065835117,20.8,8.9,33.9,10.3,21.5,14.5,0.311177815894797,0
169,17.457292696004092,11.3,2.3,1.3,0.488972365620676,23.8,16.0,24.4,13.4,26.2,5.7,0.3650451775583105,0
170,14.151254430729027,63.5,0.9,1.5,0.4959054685353119,10.2,5.2,31.5,14.5,30.1,8.4,0.4807992507024664,0
171,19.745083408039,35.4,5.1,4.5,0.4874582358457071,22.6,10.9,26.4,21.2,16.6,6.5,0.5320214252445272,1
172,17.196361990326643,33.1,5.9,3.6,0.4474607645339352,20.9,9.7,24.4,19.5,24.5,5.2,0.5414061445728937,1
173,15.96792419728963,71.7,2.1,1.4,0.5040486777439738,22.8,11.2,25.8,16.1,20.0,11.4,0.4498183313909645,0
174,14.941689558185786,66.1,8.6,1.5,0.3394979345408325,14.6,7.5,28.4,10.9,47.7,8.2,0.739732805541811,1
175,23.268669062486268,26.5,7.9,14.3,0.5072454001802147,17.0,7.8,36.4,7.6,11.2,9.3,0.2664708023806117,0
176,17.23668693382922,35.1,3.1,2.0,0.517074592074592,22.1,8.3,23.9,23.0,14.6,6.9,0.5406032055646541,1
177,17.992661787213144,71.5,2.1,5.7,0.5114411036217381,8.1,4.5,53.8,5.7,10.6,15.0,0.1564285578090341,0
178,14.108034327661551,81.0,1.2,1.0,0.4980745271265149,15.1,10.0,30.5,8.0,26.5,10.3,0.5701964542405367,1
179,16.41694593181647,65.9,0.6,1.7,0.5009200315439386,19.1,10.4,32.5,14.4,19.7,16.2,0.3020238122339336,0
180,18.02858598616509,28.8,3.0,7.3,0.4949511948838775,23.3,14.6,23.4,19.1,16.6,6.7,0.4306530246387267,0
181,13.138431806276849,78.0,0.7,1.1,0.4833093046467783,18.1,7.5,36.5,18.4,29.2,11.9,0.7103038610920722,1
182,13.779103739584292,66.1,0.4,2.0,0.4712619149238867,9.9,3.6,37.0,7.3,15.3,8.3,0.3661663995337316,0
183,18.72456714317595,30.6,2.5,5.6,0.4897684039448897,14.7,6.0,28.5,20.4,15.0,8.2,0.2794095459949428,0
184,17.105386795552434,53.2,2.0,7.8,0.5013581078685153,8.2,5.4,36.3,10.7,12.1,9.1,0.283093269072786,0
185,16.592778197386576,85.4,0.5,1.1,0.5069507679232684,12.1,7.3,41.3,8.3,14.5,15.7,0.4078620710662991,0
186,21.58958166072558,41.4,1.6,19.5,0.5062307181407281,12.1,5.8,40.9,6.6,10.1,7.7,0.4395555699944771,0
187,18.516473361089503,73.8,1.4,6.8,0.5119244769790792,8.2,5.6,44.0,7.4,15.8,8.3,0.5125771556504091,1
188,14.192601049711952,83.5,0.9,0.8,0.4962614825891903,13.3,9.4,32.4,13.9,26.0,14.0,0.5649048996406346,1
189,21.16729685438043,36.6,6.0,6.1,0.5024585966381345,15.6,9.9,29.4,11.4,14.7,7.5,0.4460320344953261,0
